"Time","NO2","NOx","O3"
2018-08-25 00:00:00,15.235,28.165,44.635
2018-08-25 01:00:00,13.12,23.61,44.845
2018-08-25 02:00:00,16.035,32.38,41.88
2018-08-25 03:00:00,11.98,21.68,42.67
2018-08-25 04:00:00,14.075,22.51,42.42
2018-08-25 05:00:00,20.305,31.76,38.7
2018-08-25 06:00:00,25.49,42.88,36.4
2018-08-25 07:00:00,23.315,44.845,36.695
2018-08-25 08:00:00,19.775,39.8,43.725
2018-08-25 09:00:00,22.915,53.025,42.675
2018-08-25 10:00:00,24.365,51.105,45.6
2018-08-25 11:00:00,26.45,59.46,46.05
2018-08-25 12:00:00,28.14,56.62,49.175
2018-08-25 13:00:00,35.43,72,45.61
2018-08-25 14:00:00,27.77,51.1,50.29
2018-08-25 15:00:00,36.73,66.03,41.385
2018-08-25 16:00:00,39.885,86.38,33.03
2018-08-25 17:00:00,47.515,100.37,26.025
2018-08-25 18:00:00,42.21,77.62,31.4
2018-08-25 19:00:00,39.695,79.635,28.94
2018-08-25 20:00:00,36.855,75.555,26.995
2018-08-25 21:00:00,28.9,52.135,30.865
2018-08-25 22:00:00,36.085,75.26,25.735
2018-08-25 23:00:00,24.415,55.39,29.405
2018-08-26 00:00:00,15.87,34.06,34.125
2018-08-26 01:00:00,18.295,37.895,31.17
2018-08-26 02:00:00,16.255,34.74,31.085
2018-08-26 03:00:00,16.065,31.27,31.145
2018-08-26 04:00:00,13.02,19.39,37.12
2018-08-26 05:00:00,16.905,27.39,33.245
2018-08-26 06:00:00,16.78,27,37.565
2018-08-26 07:00:00,11.82,21.7,46.45
2018-08-26 08:00:00,11.525,21.755,52.31
2018-08-26 09:00:00,16.85,36.425,52.02
2018-08-26 10:00:00,19.2,39.465,53.775
2018-08-26 11:00:00,22.995,46.35,52.335
2018-08-26 12:00:00,18.33,41.565,52.39
2018-08-26 13:00:00,26.745,54,49.38
2018-08-26 14:00:00,22.74,48.52,50.23
2018-08-26 15:00:00,25.69,54.04,51.455
2018-08-26 16:00:00,26.255,51.915,56.62
2018-08-26 17:00:00,23.915,45.565,60.27
2018-08-26 18:00:00,34.35,61.705,53.995
2018-08-26 19:00:00,50.235,90.93,36.46
2018-08-26 20:00:00,34.895,57.955,43.12
2018-08-26 21:00:00,57.325,80.165,22.82
2018-08-26 22:00:00,47.68,60.77,32.47
2018-08-26 23:00:00,29.06,35.47,47
2018-08-27 00:00:00,18.96,20.47,56.765
2018-08-27 01:00:00,6.365,6.77,68.42
2018-08-27 02:00:00,7.66,8.31,67.95
2018-08-27 03:00:00,12.61,16.295,63.805
2018-08-27 04:00:00,19.385,28.305,59.16
2018-08-27 05:00:00,46.88,94.34,39.24
